from,to,from_id,to_id,outflow 17-24,outflow 24-may1,above normal_0,outflow 17-24,outflow 24-may1,above normal_5,outflow 17-24,outflow 24-may1,above normal_10,outflow 17-24,outflow 24-may1,above normal_15,outflow 17-24,outflow 24-may1,above normal_20
Baitadi,Jumla,3,28,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2
Baitadi,Kabhrepalanchok,3,29,3,13,10,3,13,10,3,13,10,3,13,10,3,13,10
Baitadi,Kailali,3,30,359,723,364,359,723,364,359,723,364,359,723,364,359,723,364
Baitadi,Kalikot,3,31,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2
Baitadi,Kanchanpur,3,32,632,1261,629,632,1261,629,632,1261,629,632,1261,629,632,1261,629
Baitadi,Kapilbastu,3,33,10,15,5,10,15,5,10,15,5,10,15,5,10,15,5
Baitadi,Kaski,3,34,7,13,6,7,13,6,7,13,6,7,13,6,7,13,6
Baitadi,Kathmandu,3,35,189,274,85,189,274,85,189,274,85,189,274,85,189,274,85
Baitadi,Khotang,3,36,1,4,3,1,4,3,1,4,3,1,4,3,1,4,3
Baitadi,Lalitpur,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baitadi,Lamjung,3,38,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
Baitadi,Mahottari,3,39,5,12,7,5,12,7,5,12,7,5,12,7,5,12,7
Baitadi,Makawanpur,3,40,5,8,3,5,8,3,5,8,3,5,8,3,5,8,3
Baitadi,Manang,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baitadi,Morang,3,42,1,14,13,1,14,13,1,14,13,1,14,13,1,14,13
Baitadi,Mugu,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baitadi,Mustang,3,44,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2
Baitadi,Myagdi,3,45,2,0,-2,2,0,-2,2,0,-2,2,0,-2,2,0,-2
Baitadi,Nawalparasi,3,46,6,14,8,6,14,8,6,14,8,6,14,8,6,14,8
Baitadi,Nuwakot,3,47,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1
Baitadi,Okhaldhunga,3,48,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1
Baitadi,Palpa,3,49,8,12,4,8,12,4,8,12,4,8,12,4,8,12,4
Baitadi,Panchthar,3,50,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1
Baitadi,Parbat,3,51,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2
Baitadi,Parsa,3,52,5,7,2,5,7,2,5,7,2,5,7,2,5,7,2
Baitadi,Pyuthan,3,53,6,8,2,6,8,2,6,8,2,6,8,2,6,8,2
